scope,Tarih,variant,n_races,P@1_winner,P@1_top3,P@3_top3,Top3_3of3,Top3_2of3,ROI_winner_top1,n_bets,win_rate_top1
kümülatif,ALL,full,147,0.2789115646258503,0.6258503401360545,0.9523809523809523,0.08163265306122448,0.6326530612244898,-0.3887,146,0.2808
kümülatif,ALL,abl,147,0.21768707482993196,0.5238095238095238,0.9251700680272109,0.07482993197278912,0.47619047619047616,-0.1359,145,0.2207
kümülatif,ALL,blend,147,0.34545454545454546,0.6272727272727273,0.9545454545454546,0.1,0.6454545454545455,-0.16,110,0.3455
günlük,2026-07-12,full,17,0.23529411764705882,0.5294117647058824,0.8823529411764706,0.058823529411764705,0.47058823529411764,0.0312,16,0.25
günlük,2026-07-12,abl,17,0.23529411764705882,0.6470588235294118,0.9411764705882353,0.058823529411764705,0.47058823529411764,-0.4824,17,0.2353
günlük,2026-07-13,full,18,0.4444444444444444,0.6666666666666666,1.0,0.1111111111111111,0.5555555555555556,0.0528,18,0.4444
günlük,2026-07-13,abl,18,0.3888888888888889,0.6111111111111112,0.9444444444444444,0.1111111111111111,0.4444444444444444,0.5917,18,0.3889
günlük,2026-07-13,blend,18,0.5,0.8333333333333334,0.9444444444444444,0.05555555555555555,0.6111111111111112,0.7806,18,0.5
günlük,2026-07-14,full,18,0.3888888888888889,0.6666666666666666,1.0,0.1111111111111111,0.5555555555555556,-0.2361,18,0.3889
günlük,2026-07-14,abl,18,0.2777777777777778,0.4444444444444444,0.9444444444444444,0.05555555555555555,0.5,0.0056,18,0.2778
günlük,2026-07-14,blend,18,0.3888888888888889,0.6666666666666666,1.0,0.0,0.5,-0.2361,18,0.3889
günlük,2026-07-15,full,17,0.29411764705882354,0.4117647058823529,0.8823529411764706,0.058823529411764705,0.47058823529411764,-0.4382,17,0.2941
günlük,2026-07-15,abl,17,0.17647058823529413,0.4117647058823529,0.8823529411764706,0.0,0.23529411764705882,-0.5118,17,0.1765
günlük,2026-07-15,blend,17,0.35294117647058826,0.5294117647058824,0.8823529411764706,0.058823529411764705,0.4117647058823529,-0.2529,17,0.3529
günlük,2026-07-16,full,17,0.23529411764705882,0.5882352941176471,0.8823529411764706,0.058823529411764705,0.6470588235294118,-0.5588,17,0.2353
günlük,2026-07-16,abl,17,0.11764705882352941,0.35294117647058826,0.8235294117647058,0.0,0.4117647058823529,-0.7312,16,0.125
günlük,2026-07-16,blend,17,0.23529411764705882,0.5294117647058824,0.8823529411764706,0.11764705882352941,0.6470588235294118,-0.5588,17,0.2353
günlük,2026-07-17,full,20,0.1,0.65,0.95,0.05,0.65,-0.845,20,0.1
günlük,2026-07-17,abl,20,0.05,0.65,0.95,0.15,0.6,-0.62,20,0.05
günlük,2026-07-23,full,16,0.375,0.75,1.0,0.25,0.875,-0.3125,16,0.375
günlük,2026-07-23,abl,16,0.1875,0.5625,1.0,0.125,0.5625,-0.4267,15,0.2
günlük,2026-07-23,blend,16,0.375,0.625,1.0,0.25,0.9375,-0.3125,16,0.375
günlük,2026-07-24,full,21,0.19047619047619047,0.6666666666666666,1.0,0.0,0.7619047619047619,-0.7238,21,0.1905
günlük,2026-07-24,abl,21,0.23809523809523808,0.47619047619047616,0.9047619047619048,0.09523809523809523,0.47619047619047616,0.0714,21,0.2381
günlük,2026-07-24,blend,21,0.23809523809523808,0.5238095238095238,1.0,0.14285714285714285,0.7142857142857143,-0.4143,21,0.2381
günlük,2026-07-25,full,3,0.3333333333333333,1.0,1.0,0.0,1.0,0.0333,3,0.3333
günlük,2026-07-25,abl,3,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,5.15,3,0.6667
günlük,2026-07-25,blend,3,0.3333333333333333,1.0,1.0,0.0,1.0,0.0333,3,0.3333
