Target,Model,AUC_mean,AUC_std,AP_mean,P@1,P@3,ROI_top1,ROI_value,ROI_kelly,Bets_value,WinRate_top1
Is_Top3,XGBoost,0.8158,0.0057,0.6611,0.7322,0.9678,,,,,
Is_Top3,LightGBM,0.8149,0.0049,0.6573,0.7142,0.9694,,,,,
Is_Top3,StackingEnsemble,0.8147,0.0054,0.6603,0.7202,0.9689,,,,,
Is_Top3,CatBoost,0.8146,0.0051,0.6621,0.7301,0.9683,,,,,
Is_Top3,VotingEnsemble,0.8142,0.0047,0.6589,0.7131,0.9694,,,,,
Is_Top3,GradientBoosting,0.8126,0.005,0.6589,0.7213,0.9705,,,,,
Is_Top3,BaggingLGBM,0.8091,0.0055,0.649,0.7191,0.9661,,,,,
Is_Top3,LogisticRegression,0.8073,0.0064,0.6465,0.7087,0.9667,,,,,
Is_Top3,RandomForest,0.7983,0.0085,0.6353,0.7115,0.965,,,,,
Is_Winner,CatBoost,0.8412,0.0147,0.3883,0.3907,0.7678,0.0472,0.111,0.0605,1828.0,0.3907
Is_Winner,XGBoost,0.8403,0.0145,0.3862,0.3956,0.7683,0.0926,0.3003,0.1989,1824.0,0.3956
Is_Winner,StackingEnsemble,0.8398,0.0145,0.3869,0.3989,0.765,0.1069,0.8683,0.5459,1443.0,0.3989
Is_Winner,LightGBM,0.8393,0.0153,0.3808,0.3852,0.7623,0.0742,0.1448,0.0891,1827.0,0.3852
Is_Winner,VotingEnsemble,0.8377,0.0142,0.3807,0.3842,0.7601,0.1031,0.1337,0.1199,1829.0,0.3842
Is_Winner,GradientBoosting,0.8361,0.0139,0.3833,0.3913,0.7546,0.0884,0.8828,0.4333,1488.0,0.3913
Is_Winner,LogisticRegression,0.8332,0.0132,0.3739,0.3874,0.7612,0.1893,0.2474,0.2047,1820.0,0.3874
Is_Winner,RandomForest,0.8273,0.0134,0.3572,0.3902,0.7454,0.0042,0.0336,0.0249,1828.0,0.3902
Is_Winner,BaggingLGBM,0.8272,0.0138,0.3662,0.3803,0.7404,0.0238,0.1222,0.0901,1792.0,0.3803
