Target,Model,AUC_mean,AUC_std,AP_mean,P@1,P@3,ROI_top1,ROI_value,ROI_kelly,Bets_value,WinRate_top1
Is_Top3,CatBoost,0.8015,0.0339,0.6402,0.7075,0.955,,,,,
Is_Top3,StackingEnsemble,0.8007,0.0329,0.6369,0.6989,0.9535,,,,,
Is_Top3,LightGBM,0.7995,0.034,0.6336,0.7002,0.9522,,,,,
Is_Top3,XGBoost,0.7992,0.0328,0.6327,0.7027,0.9497,,,,,
Is_Top3,VotingEnsemble,0.7991,0.0336,0.6341,0.705,0.9522,,,,,
Is_Top3,BaggingLGBM,0.7982,0.0322,0.6316,0.7048,0.9563,,,,,
Is_Top3,GradientBoosting,0.7872,0.0372,0.6179,0.6955,0.9494,,,,,
Is_Top3,LogisticRegression,0.7735,0.0332,0.5915,0.67,0.9446,,,,,
Is_Top3,RandomForest,0.753,0.0278,0.5639,0.6634,0.9339,,,,,
Is_Winner,CatBoost,0.8218,0.0574,0.3667,0.4039,0.74,0.5309,0.5549,0.5785,6082.0,0.4088
Is_Winner,LightGBM,0.8201,0.058,0.3566,0.4026,0.7453,0.5024,0.5085,0.5549,6082.0,0.408
Is_Winner,VotingEnsemble,0.8199,0.0565,0.361,0.4026,0.7361,0.5068,0.5335,0.5587,6083.0,0.4074
Is_Winner,XGBoost,0.8189,0.0562,0.3545,0.3885,0.7366,0.4477,0.494,0.504,6082.0,0.3936
Is_Winner,StackingEnsemble,0.8183,0.0542,0.3607,0.3967,0.7331,0.5238,0.8685,1.3564,5022.0,0.4014
Is_Winner,BaggingLGBM,0.8163,0.054,0.3509,0.3938,0.7382,0.4505,0.5208,0.5574,6075.0,0.3983
Is_Winner,GradientBoosting,0.8053,0.0605,0.3433,0.3762,0.7108,0.3615,0.5834,1.0749,5364.0,0.3809
Is_Winner,LogisticRegression,0.7949,0.0504,0.3102,0.3597,0.7111,0.3183,0.3475,0.3518,6084.0,0.3652
Is_Winner,RandomForest,0.7799,0.047,0.2882,0.3426,0.6938,0.1211,0.176,0.1755,6084.0,0.3468
